x,y
-12.0000000000,-24.8324809374
-11.9903961585,-24.6628879251
-11.9807923169,-24.5037764725
-11.9711884754,-24.3361921452
-11.9615846339,-24.1636631472
-11.9519807923,-24.0122654032
-11.9423769508,-23.8416475569
-11.9327731092,-23.6568892853
-11.9231692677,-23.5105211323
-11.9135654262,-23.3473201764
-11.9039615846,-23.1853099908
-11.8943577431,-23.0263053383
-11.8847539016,-22.8351247775
-11.8751500600,-22.6930134213
-11.8655462185,-22.5065202854
-11.8559423770,-22.3594857478
-11.8463385354,-22.2006568250
-11.8367346939,-22.0314757879
-11.8271308523,-21.8765652633
-11.8175270108,-21.7012649390
-11.8079231693,-21.5528169235
-11.7983193277,-21.3843358329
-11.7887154862,-21.2193583662
-11.7791116447,-21.0706982691
-11.7695078031,-20.8945097115
-11.7599039616,-20.7585915716
-11.7503001200,-20.5888127031
-11.7406962785,-20.4403022084
-11.7310924370,-20.2748878682
-11.7214885954,-20.1285323053
-11.7118847539,-19.9606029027
-11.7022809124,-19.7915139728
-11.6926770708,-19.6525003738
-11.6830732293,-19.4962308284
-11.6734693878,-19.3335676497
-11.6638655462,-19.1723840152
-11.6542617047,-19.0361227873
-11.6446578631,-18.8741964010
-11.6350540216,-18.7371925376
-11.6254501801,-18.5683807304
-11.6158463385,-18.4241200633
-11.6062424970,-18.2614076650
-11.5966386555,-18.1239998967
-11.5870348139,-17.9699904630
-11.5774309724,-17.8158091574
-11.5678271309,-17.6739833788
-11.5582232893,-17.5339802561
-11.5486194478,-17.3607413834
-11.5390156062,-17.2395467879
-11.5294117647,-17.0761519328
-11.5198079232,-16.9316150004
-11.5102040816,-16.7779936937
-11.5006002401,-16.6585200532
-11.4909963986,-16.4946194205
-11.4813925570,-16.3568681133
-11.4717887155,-16.2031938901
-11.4621848739,-16.0777801087
-11.4525810324,-15.9492355460
-11.4429771909,-15.7999844552
-11.4333733493,-15.6606242791
-11.4237695078,-15.5164121950
-11.4141656663,-15.3687141398
-11.4045618247,-15.2370786256
-11.3949579832,-15.1142201734
-11.3853541417,-14.9801191207
-11.3757503001,-14.8403004862
-11.3661464586,-14.7112485804
-11.3565426170,-14.5799035723
-11.3469387755,-14.4265855139
-11.3373349340,-14.3016322588
-11.3277310924,-14.1837030833
-11.3181272509,-14.0573040501
-11.3085234094,-13.9105198295
-11.2989195678,-13.8022618494
-11.2893157263,-13.6510197426
-11.2797118848,-13.5527784208
-11.2701080432,-13.4165874692
-11.2605042017,-13.2819660142
-11.2509003601,-13.1677834688
-11.2412965186,-13.0492133742
-11.2316926771,-12.9200771361
-11.2220888355,-12.8100769974
-11.2124849940,-12.6681689444
-11.2028811525,-12.5621783037
-11.1932773109,-12.4457424047
-11.1836734694,-12.3404896422
-11.1740696279,-12.2173852778
-11.1644657863,-12.0958545014
-11.1548619448,-12.0007504357
-11.1452581032,-11.8842425412
-11.1356542617,-11.7512441456
-11.1260504202,-11.6516751974
-11.1164465786,-11.5414779178
-11.1068427371,-11.4380841371
-11.0972388956,-11.3151683176
-11.0876350540,-11.2292415148
-11.0780312125,-11.1065845340
-11.0684273709,-11.0129458820
-11.0588235294,-10.9245920174
-11.0492196879,-10.8118058914
-11.0396158463,-10.7210976807
-11.0300120048,-10.6186962935
-11.0204081633,-10.5053928895
-11.0108043217,-10.4208223371
-11.0012004802,-10.3325078421
-10.9915966387,-10.2216804511
-10.9819927971,-10.1236954769
-10.9723889556,-10.0592762072
-10.9627851140,-9.9580183766
-10.9531812725,-9.8707021155
-10.9435774310,-9.7703276757
-10.9339735894,-9.6815114351
-10.9243697479,-9.5958712272
-10.9147659064,-9.5207477497
-10.9051620648,-9.4400284049
-10.8955582233,-9.3744742938
-10.8859543818,-9.2971006514
-10.8763505402,-9.2104057641
-10.8667466987,-9.1216138347
-10.8571428571,-9.0433679310
-10.8475390156,-8.9948786724
-10.8379351741,-8.9193356438
-10.8283313325,-8.8474952962
-10.8187274910,-8.7663777298
-10.8091236495,-8.7015934615
-10.7995198079,-8.6352573216
-10.7899159664,-8.5680596257
-10.7803121248,-8.5112838650
-10.7707082833,-8.4414027848
-10.7611044418,-8.3777069137
-10.7515006002,-8.3267785119
-10.7418967587,-8.2718773071
