x,y
-12.0000000000,-10.5738551498
-11.9903961585,-10.5334609285
-11.9807923169,-10.6032469903
-11.9711884754,-10.5808948690
-11.9615846339,-10.5039026268
-11.9519807923,-10.6502789834
-11.9423769508,-10.5894765583
-11.9327731092,-10.3755473227
-11.9231692677,-10.5686873213
-11.9135654262,-10.5797238946
-11.9039615846,-10.6007818324
-11.8943577431,-10.6510933749
-11.8847539016,-10.3552660859
-11.8751500600,-10.5797921908
-11.8655462185,-10.3277402068
-11.8559423770,-10.4932879167
-11.8463385354,-10.5296185631
-11.8367346939,-10.4519993230
-11.8271308523,-10.5229558157
-11.8175270108,-10.3726634405
-11.8079231693,-10.5049246347
-11.7983193277,-10.4195163725
-11.7887154862,-10.3673855410
-11.7791116447,-10.4851019552
-11.7695078031,-10.3048676226
-11.7599039616,-10.5497623432
-11.7503001200,-10.4289466396
-11.7406962785,-10.5303578251
-11.7310924370,-10.4467199941
-11.7214885954,-10.5615296735
-11.7118847539,-10.4412681889
-11.7022809124,-10.3035848581
-11.6926770708,-10.4815488040
-11.6830732293,-10.4701909241
-11.6734693878,-10.3852743591
-11.6638655462,-10.3106786512
-11.6542617047,-10.4963603972
-11.6446578631,-10.4026187943
-11.6350540216,-10.5689559785
-11.6254501801,-10.3901475562
-11.6158463385,-10.4672579614
-11.6062424970,-10.3414909656
-11.5966386555,-10.4794824054
-11.5870348139,-10.4341332636
-11.5774309724,-10.3805962013
-11.5678271309,-10.4523984545
-11.5582232893,-10.5370910706
-11.5486194478,-10.2606193222
-11.5390156062,-10.5325384426
-11.5294117647,-10.3474748174
-11.5198079232,-10.3566170740
-11.5102040816,-10.2618152118
-11.5006002401,-10.5241118958
-11.4909963986,-10.3052781263
-11.4813925570,-10.3580283473
-11.4717887155,-10.2334919952
-11.4621848739,-10.4028579234
-11.4525810324,-10.5311856567
-11.4429771909,-10.4308994111
-11.4333733493,-10.4282702857
-11.4237695078,-10.3659393332
-11.4141656663,-10.2583738923
-11.4045618247,-10.3139882039
-11.3949579832,-10.4549666381
-11.3853541417,-10.4676617039
-11.3757503001,-10.4109018656
-11.3661464586,-10.4604139886
-11.3565426170,-10.4767868009
-11.3469387755,-10.2499936773
-11.3373349340,-10.3168638543
-11.3277310924,-10.4496543313
-11.3181272509,-10.4829870141
-11.3085234094,-10.2896548838
-11.2989195678,-10.4979355386
-11.2893157263,-10.2382732427
-11.2797118848,-10.5343944540
