x,y,filter_value,true_blob
-6.047680579500879006e+00,-7.254272570837454914e+00,-1.784877320265190415e+00,0.000000000000000000e+00
-4.366518288304384043e+00,-4.711726425140014385e+00,-8.816306665824912292e-01,0.000000000000000000e+00
-9.675194295844605108e+00,-7.920379661875973198e+00,-3.336995560130825121e-03,0.000000000000000000e+00
-5.959968671262498852e+00,-6.376127179954385049e+00,-1.160772780181604791e+00,0.000000000000000000e+00
-6.452563757918437837e+00,-7.068825083092618478e+00,-1.384961554292683639e+00,0.000000000000000000e+00
-4.248037171248141064e+00,-4.895850384484390361e+00,-1.099161469627193854e+00,0.000000000000000000e+00
-5.334031815296098600e+00,-4.581043886655776554e+00,-1.678218341679526548e-01,0.000000000000000000e+00
-5.705006750950948557e+00,-7.003989177266241484e+00,-1.808162678911326315e+00,0.000000000000000000e+00
-5.907877585086626304e+00,-7.143290633423873714e+00,-1.787510578978452891e+00,0.000000000000000000e+00
-4.663364988466853767e+00,-5.930639843536725131e+00,-1.637043055391454116e+00,0.000000000000000000e+00
-6.627001435697124521e+00,-6.878891285036715431e+00,-1.127500375307724401e+00,0.000000000000000000e+00
-4.182325666089654170e+00,-6.009780651784898176e+00,-2.002906939128967334e+00,0.000000000000000000e+00
-6.839974899596930946e+00,-6.504416111434752956e+00,-7.028097356647066141e-01,0.000000000000000000e+00
-4.992198730210270163e+00,-5.463348541711900097e+00,-1.067149589506280583e+00,0.000000000000000000e+00
-5.144853950522276342e+00,-5.399563854500748050e+00,-9.211159108801982853e-01,0.000000000000000000e+00
-2.883653726843092624e+00,-6.186771630350200724e+00,-2.962258547960328059e+00,0.000000000000000000e+00
-7.200862594184821219e+00,-7.094052319670577589e+00,-9.306352566515180280e-01,0.000000000000000000e+00
-4.480745748647535720e+00,-4.496387720712561098e+00,-6.426345599154807964e-01,0.000000000000000000e+00
-6.596696797846320237e+00,-7.067287714851390845e+00,-1.292501209213828384e+00,0.000000000000000000e+00
-6.952649490409070765e+00,-5.310431197572809126e+00,2.926334124614141108e-01,0.000000000000000000e+00
-4.576378900482066747e+00,-5.209569038937989838e+00,-1.134047921068461751e+00,0.000000000000000000e+00
-6.915459384764115924e+00,-5.809624802259904186e+00,-1.172713019198253770e-01,0.000000000000000000e+00
-5.709792697467364953e+00,-5.709136382717624691e+00,-8.029712649802612789e-01,0.000000000000000000e+00
-4.537487619792964111e+00,-5.589791247339418234e+00,-1.452951103223795837e+00,0.000000000000000000e+00
-4.913894442494116888e+00,-5.813689128678101170e+00,-1.387883478116993308e+00,0.000000000000000000e+00
-5.236220819111254698e+00,-5.167521807898326713e+00,-6.836683212221665862e-01,0.000000000000000000e+00
-8.418427128954933281e+00,-6.618162393424976919e+00,2.086911008770324372e-01,0.000000000000000000e+00
-7.048516538275503507e+00,-6.869153208448096848e+00,-8.530442277349659097e-01,0.000000000000000000e+00
-5.678999833784161844e+00,-4.172594698641007405e+00,3.667471819865553151e-01,0.000000000000000000e+00
-6.857899052028786357e+00,-4.919526724114635208e+00,5.351772247597603727e-01,0.000000000000000000e+00
-8.775890660997385240e+00,-6.671036753224589333e+00,3.941280212975379893e-01,0.000000000000000000e+00
-5.454621583407602614e+00,-5.242809126035151479e+00,-6.036378732580880424e-01,0.000000000000000000e+00
-4.500925183721111722e+00,-4.901631969031164715e+00,-9.434979229871958140e-01,0.000000000000000000e+00
-6.771699758317361706e+00,-6.630248501667974637e+00,-8.434330321552853116e-01,0.000000000000000000e+00
-4.765789546492219309e+00,-6.110434023913445145e+00,-1.711336972856236205e+00,0.000000000000000000e+00
-8.543957408175518964e+00,-7.607961966005039045e+00,-4.778809864456132206e-01,0.000000000000000000e+00
-7.176570671275615432e+00,-5.516466912833037028e+00,2.749659205029114095e-01,0.000000000000000000e+00
-5.433997432056739463e+00,-5.115529447004704799e+00,-5.181888286595699444e-01,0.000000000000000000e+00
-6.582971756283271247e+00,-5.865913283104587705e+00,-3.713799136777226617e-01,0.000000000000000000e+00
-5.185008159210747536e+00,-6.292844615555197585e+00,-1.587049913756770625e+00,0.000000000000000000e+00
-5.622961352319338246e+00,-6.758891140699702760e+00,-1.670421511420508098e+00,0.000000000000000000e+00
-6.753602409175026189e+00,-6.531630444482671827e+00,-7.785667923438770455e-01,0.000000000000000000e+00
-7.610065210270220426e+00,-5.570660345856378370e+00,5.075276414071449027e-01,0.000000000000000000e+00
-6.721326567950378639e+00,-6.054792702620799716e+00,-4.299530238700419171e-01,0.000000000000000000e+00
-5.031577090680869446e+00,-5.369724031126683172e+00,-9.697523501861570194e-01,0.000000000000000000e+00
-5.017895823346893103e+00,-6.023299089290861552e+00,-1.484255032524044227e+00,0.000000000000000000e+00
-6.695971489121637532e+00,-6.163142510439621802e+00,-5.298669425880068173e-01,0.000000000000000000e+00
-9.338924608846490116e+00,-8.061990755622563398e+00,-3.258766087386579802e-01,0.000000000000000000e+00
-8.548807812950064644e+00,-7.444963476355012766e+00,-3.486556560205722466e-01,0.000000000000000000e+00
-5.833089476258703776e+00,-7.071882685191560824e+00,-1.779602532994635000e+00,0.000000000000000000e+00
-5.936537809868021043e+00,-4.432689010873327007e+00,3.285280694357549103e-01,0.000000000000000000e+00
-6.183451370911666523e+00,-5.131545135075355368e+00,-5.600173120351788908e-02,0.000000000000000000e+00
-7.549826182949124664e+00,-6.396839599336018978e+00,-1.700454508218318395e-01,0.000000000000000000e+00
-7.642050723061681872e+00,-6.566294653112290547e+00,-2.427963625905003309e-01,0.000000000000000000e+00
-5.561182598537211419e+00,-8.033104308371825653e+00,-2.695728734811174476e+00,0.000000000000000000e+00
-5.207775551337782360e+00,-5.637666950552773670e+00,-1.065553204572712298e+00,0.000000000000000000e+00
-7.643961358524258287e+00,-7.896694811340087661e+00,-1.271259389333847523e+00,0.000000000000000000e+00
-6.152945617575403148e+00,-6.651046460172672425e+00,-1.251348268744493231e+00,0.000000000000000000e+00
-5.628425799638486993e+00,-5.937783386392490925e+00,-1.031458876996639518e+00,0.000000000000000000e+00
-3.636920532189093169e+00,-6.058927700643143233e+00,-2.386315798113265885e+00,0.000000000000000000e+00
-7.496783296085732573e+00,-5.929430080197884756e+00,1.581207977660013531e-01,0.000000000000000000e+00
-4.979411352223545251e+00,-4.268016028353689428e+00,-1.501107167971401368e-01,0.000000000000000000e+00
-4.527142039257649131e+00,-5.428644489175926680e+00,-1.334781606057320769e+00,0.000000000000000000e+00
-4.326262045771104070e+00,-7.266458384220629618e+00,-2.884375887886768020e+00,0.000000000000000000e+00
-7.454902846464871224e+00,-7.254182656669367901e+00,-8.937014118054033007e-01,0.000000000000000000e+00
-7.292548268669595046e+00,-7.779329154918751321e+00,-1.402951431357809309e+00,0.000000000000000000e+00
-5.126627380987059723e+00,-6.182505729351306378e+00,-1.538621242389171639e+00,0.000000000000000000e+00
-8.787539297082890499e+00,-7.490094795684825613e+00,-2.324115725614493699e-01,0.000000000000000000e+00
-5.094990252505006367e+00,-4.905314713014494288e+00,-5.701637581484484407e-01,0.000000000000000000e+00
-5.852434438438137931e+00,-7.174761235048430663e+00,-1.846976176484696586e+00,0.000000000000000000e+00
-9.170816003961611784e+00,-5.985167614179901285e+00,1.175043099254730272e+00,0.000000000000000000e+00
-7.467737327820847426e+00,-6.641137739521155936e+00,-4.111035448260927927e-01,0.000000000000000000e+00
-7.019145481750895144e+00,-6.267803127879452596e+00,-4.062238064335222942e-01,0.000000000000000000e+00
-4.269206358556480119e+00,-5.643792256075172986e+00,-1.664631411131998195e+00,0.000000000000000000e+00
-6.763710873822872394e+00,-7.318362416588067632e+00,-1.381062682854975465e+00,0.000000000000000000e+00
-8.838912518828418996e+00,-6.859087328047317023e+00,2.884927282849389374e-01,0.000000000000000000e+00
-5.199397996978455616e+00,-3.798154990647894191e+00,3.528455197572158974e-01,0.000000000000000000e+00
-5.306704736205498207e+00,-4.752034433000245528e+00,-3.174657547835352256e-01,0.000000000000000000e+00
-7.366380060944198505e+00,-7.556074047802153970e+00,-1.183408430629796504e+00,0.000000000000000000e+00
-7.858544013728053557e+00,-7.051300095004547686e+00,-4.810781315092482746e-01,0.000000000000000000e+00
-3.111565254337688380e+00,-6.707462889165207720e+00,-3.220929156306733265e+00,0.000000000000000000e+00
-5.151805323252178326e+00,-7.002885592048331276e+00,-2.157616600719764133e+00,0.000000000000000000e+00
-4.363586346991990439e+00,-5.379075340436534347e+00,-1.399986846729475598e+00,0.000000000000000000e+00
-6.263170004437757399e+00,-6.074448842318005859e+00,-7.352880865334484595e-01,0.000000000000000000e+00
-6.791884827174515138e+00,-5.540627902461808141e+00,1.266873236191818838e-02,0.000000000000000000e+00
-7.318027276411832815e+00,-7.600254726760176993e+00,-1.248221200023177602e+00,0.000000000000000000e+00
-7.894509281334349815e+00,-5.975955738995293309e+00,3.739670485662313082e-01,0.000000000000000000e+00
-3.472412745777107013e+00,-5.563146794571636633e+00,-2.106775094201227105e+00,0.000000000000000000e+00
-6.040976335669046904e+00,-5.660513074413303869e+00,-5.556209053825246214e-01,0.000000000000000000e+00
-3.866006049672493283e+00,-5.529871612039156226e+00,-1.831783369779121262e+00,0.000000000000000000e+00
-6.083792852762348602e+00,-4.678778197050199594e+00,2.313130055058015833e-01,0.000000000000000000e+00
-4.567549524386503634e+00,-4.015991544235768096e+00,-2.158610014869687954e-01,0.000000000000000000e+00
-6.328221138166295390e+00,-7.503101124067339533e+00,-1.799811111840835753e+00,0.000000000000000000e+00
-7.295182792715156239e+00,-4.141563964597787972e+00,1.414191770663848935e+00,0.000000000000000000e+00
-3.418077739427189510e+00,-5.965849158485756476e+00,-2.452856507513628603e+00,0.000000000000000000e+00
-5.863218201639679883e+00,-4.230672732867645891e+00,4.384512956590961297e-01,0.000000000000000000e+00
-8.163284316645320615e+00,-7.284465626001306759e+00,-4.685652201251486737e-01,0.000000000000000000e+00
-5.200146029661775415e+00,-6.396757384371130506e+00,-1.657888088028679263e+00,0.000000000000000000e+00
-6.089660342678366867e+00,-6.205071903163651648e+00,-9.462576327200168391e-01,0.000000000000000000e+00
-4.773018518704795099e+00,-4.190011491038013958e+00,-2.204342775930439591e-01,0.000000000000000000e+00
-5.537623997663865261e+00,-5.181488772368665785e+00,-5.036182725585287567e-01,0.000000000000000000e+00
-9.202125957563143999e+00,-6.368423817567300915e+00,8.982458090097911185e-01,0.000000000000000000e+00
-7.916413449165764504e+00,-7.650000866073465744e+00,-9.078018498966826666e-01,0.000000000000000000e+00
-7.528197889089970118e+00,-6.549377155915327542e+00,-3.017988591494329409e-01,0.000000000000000000e+00
-5.243547418217961997e+00,-7.520605515821053189e+00,-2.500215153176944316e+00,0.000000000000000000e+00
-6.194605903145442127e+00,-6.600617067777810654e+00,-1.185937205230243707e+00,0.000000000000000000e+00
-6.006514383608736907e+00,-4.795703682523539513e+00,9.188202551952112662e-02,0.000000000000000000e+00
-4.497222018922542475e+00,-4.247535050145981650e+00,-4.395998221236102066e-01,0.000000000000000000e+00
-6.587455108672696902e+00,-6.893104116475863741e+00,-1.163542728680138749e+00,0.000000000000000000e+00
-6.225732770529163851e+00,-5.730457833443048266e+00,-4.927604056279824007e-01,0.000000000000000000e+00
-6.268505330513431062e+00,-7.328999086523651840e+00,-1.702877875159255261e+00,0.000000000000000000e+00
-5.745626673407342011e+00,-5.701141120082187541e+00,-7.740918453641539854e-01,0.000000000000000000e+00
-7.466218874140759354e+00,-6.487215704520292725e+00,-2.929360045819332514e-01,0.000000000000000000e+00
-8.563688609829098297e+00,-6.957900067729908322e+00,3.773370719262381795e-02,0.000000000000000000e+00
-4.907885433990855972e+00,-4.445342223351157251e+00,-3.326465341631716366e-01,0.000000000000000000e+00
-7.457153168536491350e+00,-6.927045625746286461e+00,-6.390863299067820469e-01,0.000000000000000000e+00
-9.409630956367369237e+00,-6.525425755141933237e+00,9.081330203449635707e-01,0.000000000000000000e+00
-7.911462052065359352e+00,-6.821161445986526850e+00,-2.694509426114953254e-01,0.000000000000000000e+00
-7.406265483286039952e+00,-6.249357309540834571e+00,-1.468085163540677474e-01,0.000000000000000000e+00
-9.458001629298273372e+00,-8.097465815442232540e+00,-2.779287209244586387e-01,0.000000000000000000e+00
-3.343378266993153325e+00,-7.289891159788293606e+00,-3.524911007731012180e+00,0.000000000000000000e+00
-6.781560882444034100e+00,-3.868375926366553585e+00,1.300382843420150092e+00,0.000000000000000000e+00
-6.400008107551192538e+00,-5.628292904842568056e+00,-3.033313841028852376e-01,0.000000000000000000e+00
