x,y
7.374406049192966384e-01,4.309846720766354333e-01
8.236299012661160157e-01,7.381988047457027635e-01
9.842717222632921259e-02,9.781389373133760889e-01
7.657811702235357565e-01,7.981547178889704108e-01
1.476767296722364398e-01,4.191148593192738914e-01
3.970015761811163668e-01,9.516814947289469195e-01
6.425381878635136879e-01,8.203870394571659563e-01
3.813589828948496518e-01,2.023588985407451246e-01
5.649617725410979174e-01,8.782960543037315881e-02
8.422079104349180501e-01,6.301500978064991099e-01
7.966051940967426859e-01,3.746294792572111287e-01
9.628214960200052186e-01,9.367633343612659091e-01
7.564601523796298244e-01,1.652019034412184340e-01
4.582988959845556987e-01,2.863096222681707492e-02
1.469908597778098458e-01,6.990107671704769432e-01
7.440825644757235180e-01,9.673437970818142828e-01
3.270016544623300381e-01,3.242131961753731417e-01
4.392506011174465708e-01,1.817651337756972518e-01
1.130629293085168852e-01,4.710691764830113870e-01
2.549919166430459350e-01,6.683250047346463996e-01
4.107085545178710273e-01,8.168162003125439830e-01
7.344766201820941420e-01,3.430165208112213593e-01
8.441773501081787368e-01,7.735146960828952478e-01
3.936144777322574395e-01,2.960020459132581272e-01
6.830063081427802940e-01,1.283522624971226156e-01
1.926555815977134267e-01,-5.432028392735930786e-03
7.640228983349579561e-01,6.921706133013970641e-01
7.228116545269289706e-01,7.750304421703017033e-01
4.659593417056953624e-01,5.765352137607044902e-01
1.866546692891786763e-01,1.319814471542875289e-01
6.850983541650337294e-01,4.718558264045192296e-01
5.565476273129853491e-01,7.926530624692579297e-01
6.477637623519144627e-01,5.369885615769078857e-01
5.682844918322103034e-01,3.206978198310284633e-01
-1.109878455791783042e-02,4.182696533806690153e-01
2.218399693403273198e-01,3.700394176480610309e-01
8.180804499504602534e-01,2.285302510574555301e-01
6.813362687096485848e-02,2.921395661600189042e-01
3.252417488205128215e-01,6.635617924846850535e-01
5.495790952720679412e-01,7.577510173833085227e-01
6.566209879988468279e-01,4.205374476000050543e-01
8.290748287357769808e-01,1.722653000422737501e-01
3.365437183975480973e-02,1.155755319571335760e-01
7.238647874588494124e-01,4.892236070063920583e-01
1.467388422476148813e-01,4.995789542125537164e-01
1.426954381159599994e-01,7.121744777125161852e-01
4.258665866422017277e-01,3.745859165864126594e-01
2.643185593314234527e-01,6.421701148302856321e-01
3.867484160679000582e-01,1.058640783421029297e-01
1.342584543899108807e-01,9.786856724691135323e-01
9.225745672763371319e-01,7.119950462608711783e-01
2.794482306120921189e-01,9.560627347495727069e-01
7.747470350953976626e-01,7.182950543731658755e-01
4.426473993697984111e-01,2.409153691244622086e-01
7.169078241562054643e-02,9.072019188443111171e-01
4.738918080080494200e-01,2.025502029784244373e-01
3.612530613877363850e-01,5.608243203387905940e-01
1.856716257805456627e-01,8.824383363053642793e-01
7.798330722585217201e-01,7.325642931864291274e-01
4.534981192519458859e-01,6.284167276555971959e-01
6.173556038091465581e-01,6.755097836819051738e-01
6.739976912567816059e-02,4.222387609232973738e-01
