x,y,label
1.551184,-0.280103,1
0.616372,-0.363950,1
1.835602,0.061197,1
0.905920,0.410771,0
0.334578,-0.225618,1
0.749311,0.555707,0
0.739124,0.338089,0
1.785525,-0.316045,1
0.661551,0.959863,0
0.067173,0.157551,1
-0.166026,0.335973,1
0.094027,0.028889,1
-1.065498,0.250358,0
1.346656,-0.495405,1
-0.697866,0.785040,0
-0.442257,0.970233,0
0.761281,0.841288,0
1.905162,0.478754,1
0.084083,-0.166245,1
-0.746690,0.712691,0
-0.037554,0.526525,1
1.140573,0.252169,0
-1.061386,0.000688,0
1.109603,-0.438301,1
0.582033,0.877489,0
0.432575,-0.427783,1
0.062549,0.954928,0
0.769402,0.665568,0
0.129492,1.126881,0
-0.546232,0.680635,0
1.924538,0.096418,1
2.064977,0.184765,1
0.930839,0.172027,0
0.174722,1.036566,0
0.497111,-0.200392,1
1.777521,-0.286291,1
0.925754,0.417649,0
-0.211311,0.380307,1
0.783737,0.654714,0
-0.763363,0.700867,0
-0.553499,0.871323,0
-0.792963,0.593431,0
0.841806,-0.549776,1
1.484834,-0.310007,1
-1.075786,0.254337,0
-0.590282,0.782290,0
0.692146,-0.443246,1
0.169980,-0.133821,1
0.882809,0.578098,0
2.043037,0.691235,1
0.668739,0.887044,0
1.828340,-0.221521,1
-0.904539,0.095830,0
1.854530,0.124835,1
0.835338,0.271570,0
-0.912321,0.387859,0
0.948838,-0.068868,0
-0.100411,0.969247,0
1.998713,0.109065,1
1.908275,0.430455,1
0.032125,0.315197,1
-0.346022,0.940610,0
0.367782,-0.308427,1
1.687598,0.297938,1
1.351683,-0.546081,1
-0.785825,0.546577,0
0.780483,0.258947,0
0.672111,0.639272,0
0.136025,-0.105076,1
2.018303,0.433051,1
-1.093726,0.080816,0
2.158995,0.288639,1
1.797966,-0.136343,1
0.227712,-0.063490,1
1.667338,-0.357817,1
0.193133,-0.142838,1
0.139598,0.475787,1
0.273978,-0.265360,1
-0.906749,0.642705,0
1.093167,0.327335,0
2.061823,0.281548,1
0.962447,0.335367,0
0.053678,0.413739,1
0.092297,0.407768,1
-0.682624,0.559884,0
1.278736,-0.314207,1
1.707299,-0.077484,1
1.851979,-0.070030,1
-0.975145,0.234847,0
0.124093,-0.215503,1
0.906402,0.077909,0
0.864391,0.441384,0
0.954689,0.286469,0
2.134230,0.547838,1
0.976906,0.175807,0
1.264645,-0.344907,1
1.335757,-0.286918,1
0.995781,0.163165,0
0.603647,0.432797,0
1.744041,-0.042705,1
1.300997,-0.420163,1
-0.832931,0.580066,0
1.542277,-0.196470,1
0.717279,-0.341375,1
0.875440,0.404270,0
0.520093,-0.363333,1
1.271844,-0.353578,1
1.953881,0.170966,1
0.124201,-0.270621,1
1.516414,-0.569894,1
1.041626,-0.644999,1
1.408209,-0.457810,1
0.182838,1.060082,0
-0.773738,0.017332,0
1.972845,0.066165,1
-0.684188,0.132256,0
0.182723,0.082054,1
0.204136,0.286895,1
1.828663,-0.339104,1
-0.393782,0.845539,0
-0.904840,0.356883,0
1.030051,0.133459,0
-0.614497,0.690341,0
-0.539520,0.715629,0
0.817272,0.455308,0
-0.042859,0.447110,1
0.018370,0.955398,0
1.402922,-0.366184,1
0.158490,-0.066483,1
1.472464,-0.322602,1
1.662243,-0.103334,1
0.358211,0.934917,0
1.879686,0.020937,1
-1.101578,0.088706,0
0.774909,0.548716,0
0.431677,-0.087159,1
0.178498,0.909854,0
-0.982767,0.755174,0
0.628319,0.858084,0
0.887438,-0.028551,0
1.006571,-0.017136,0
-0.556102,0.988674,0
0.872600,0.589913,0
-0.240620,0.930336,0
-0.034074,0.293630,1
1.927036,0.494207,1
1.805233,-0.016993,1
0.718040,0.499881,0
0.080771,0.023357,1
0.044364,1.085632,0
0.622577,0.741902,0
2.095275,0.071991,1
0.046057,0.045163,1
1.552077,-0.111871,1
0.855916,0.140505,0
-0.045789,0.426535,1
-0.531523,0.906021,0
0.782320,-0.310181,1
0.938606,-0.507433,1
-0.136675,0.475077,1
1.464945,-0.441216,1
-0.117433,0.977981,0
1.437524,-0.690713,1
-0.954104,0.429424,0
-0.786275,0.555215,0
-0.992696,0.213585,0
1.900662,0.037727,1
0.907799,0.072338,0
0.914962,0.525443,0
-0.745976,0.778083,0
0.439015,0.717103,0
0.735261,-0.375018,1
-1.092071,-0.055964,0
0.097635,-0.011493,1
0.583733,0.959942,0
1.631125,-0.475708,1
-1.096953,0.005061,0
0.577477,0.600859,0
-0.600490,0.861281,0
1.663518,-0.286398,1
0.933936,0.632904,0
0.921990,-0.560660,1
0.617528,0.794336,0
1.318771,-0.313449,1
2.079536,0.339917,1
0.782523,0.057822,0
0.051079,0.090488,1
1.860256,-0.016610,1
0.280302,-0.148339,1
1.161667,-0.585223,1
-1.081525,0.409052,0
0.291307,0.794920,0
1.784170,0.354495,1
0.075612,0.894961,0
0.937207,0.153154,0
0.814382,0.536736,0
0.540998,-0.684549,1
0.246959,0.094998,1
-0.561988,0.786854,0
1.382687,-0.277981,1
0.102155,0.035353,1
0.886954,0.549699,0
-0.946154,0.205883,0
0.999298,0.150022,0
1.198088,-0.454260,1
2.027152,0.295853,1
1.123683,-0.485359,1
-0.913751,0.244499,0
1.840374,-0.034393,1
-0.808448,0.568573,0
0.249512,1.016851,0
-1.053753,0.336588,0
0.738892,-0.813230,1
-1.122658,0.205832,0
1.479094,-0.593651,1
1.946471,0.353263,1
1.001729,0.029389,0
1.911407,-0.020212,1
1.476313,-0.500029,1
1.102493,0.336811,0
-0.168323,1.002932,0
-0.192394,0.936409,0
0.026703,0.133710,1
-0.134811,1.000346,0
-0.956738,0.384800,0
0.671222,0.541330,0
0.870177,0.493002,0
0.817842,0.655069,0
-0.031858,1.035323,0
-0.119496,0.961329,0
0.090042,0.908634,0
1.627141,-0.049224,1
0.294324,-0.173122,1
0.429442,1.023320,0
1.901873,-0.073450,1
0.745965,0.759387,0
1.163997,0.185410,0
-0.009684,0.439576,1
-0.766351,0.612726,0
