Dimension,K,Mean_Degree,CV_Degree
1,1,1.79,0.02
1,2,1.84,0.0409
1,3,1.86,0.026
1,4,1.82,0.0194
1,5,1.86,0.0162
1,6,1.85,0.0184
1,7,1.85,0.0077
1,8,1.85,0.0125
1,9,1.86,0.0119
1,10,1.85,0.0132
1,11,1.85,0.0124
1,12,1.84,0.0149
1,13,1.83,0.0108
1,14,1.84,0.0154
1,15,1.84,0.0124
1,16,1.84,0.0106
1,17,1.83,0.0152
1,18,1.84,0.0115
1,19,1.82,0.0096
1,20,1.83,0.0155
1,21,1.82,0.0097
1,22,1.82,0.0124
1,23,1.82,0.0128
1,24,1.82,0.012
1,25,1.82,0.0087
1,26,1.81,0.0147
1,27,1.8,0.0154
1,28,1.81,0.0167
1,29,1.8,0.0144
1,30,1.8,0.0128
1,31,1.8,0.0143
1,32,1.8,0.0138
1,33,1.79,0.0161
1,34,1.79,0.0103
1,35,1.78,0.016
1,36,1.79,0.0118
1,37,1.79,0.0121
1,38,1.78,0.0144
1,39,1.78,0.0113
1,40,1.77,0.0175
1,41,1.77,0.0147
1,42,1.76,0.0112
1,43,1.77,0.0145
1,44,1.77,0.014
1,45,1.77,0.0139
1,46,1.76,0.0137
1,47,1.76,0.0157
1,48,1.76,0.0116
1,49,1.76,0.0132
2,1,1.76,0.0455
2,2,2.51,0.0464
2,3,2.88,0.046
2,4,3.03,0.025
2,5,3.17,0.0242
2,6,3.28,0.0191
2,7,3.44,0.0262
2,8,3.6,0.03
2,9,3.74,0.0252
2,10,3.79,0.025
2,11,3.86,0.0235
2,12,3.86,0.0368
2,13,3.8,0.0294
2,14,3.79,0.0326
2,15,3.71,0.0286
2,16,3.62,0.0211
2,17,3.58,0.0224
2,18,3.47,0.0242
2,19,3.44,0.0204
2,20,3.4,0.0198
2,21,3.35,0.0193
2,22,3.33,0.0188
2,23,3.32,0.0166
2,24,3.3,0.0185
2,25,3.32,0.015
2,26,3.3,0.0149
2,27,3.28,0.0157
2,28,3.31,0.0164
2,29,3.29,0.0175
2,30,3.3,0.0136
2,31,3.29,0.0155
2,32,3.29,0.0177
2,33,3.28,0.0157
2,34,3.27,0.0142
2,35,3.28,0.0133
2,36,3.27,0.0113
2,37,3.28,0.0117
2,38,3.26,0.0152
2,39,3.24,0.011
2,40,3.24,0.0122
2,41,3.23,0.0137
2,42,3.22,0.0129
2,43,3.2,0.0132
2,44,3.2,0.0098
2,45,3.19,0.014
2,46,3.17,0.014
2,47,3.16,0.018
2,48,3.15,0.0131
2,49,3.13,0.0186
3,1,1.77,0.0383
3,2,3.43,0.0345
3,3,3.73,0.0331
