point_id,time,x,y,z,strand,mass_regime
P00001,0.00011396,0.02609683,0.03696734,0.32238386,middle,balanced_early
P00002,0.00015752,0.0166599,5.12585761,0.5457231,upper,balanced_early
P00003,0.00020547,-0.00541287,0.22915201,0.2369121,middle,balanced_early
P00004,0.00035722,0.02176592,5.06718854,0.47996337,upper,balanced_early
P00005,0.00060839,0.02953233,-5.03157183,-0.16914032,lower,balanced_early
P00006,0.00080459,0.01139292,5.26401545,0.24447013,upper,balanced_early
P00007,0.00080636,-0.0499554,-5.08963685,0.02452652,lower,balanced_early
P00008,0.0008156,0.04780019,-0.00477991,0.30014235,middle,balanced_early
P00009,0.00089456,0.00771864,5.14266284,0.48256115,upper,balanced_early
P00010,0.00096133,-0.04131565,-5.15427893,0.1312336,lower,balanced_early
P00011,0.00113856,-0.02517704,5.14994105,0.44846788,upper,balanced_early
P00012,0.00116251,0.01961514,-5.02289537,-0.04543035,lower,balanced_early
P00013,0.00122111,-0.02042552,-5.04069572,0.01949289,lower,balanced_early
P00014,0.00132704,0.03592895,-5.18791844,-0.10170977,lower,balanced_early
P00015,0.00143088,-0.02234566,5.11276185,0.29517387,upper,balanced_early
P00016,0.00144011,0.01095605,5.31083812,0.50312676,upper,balanced_early
P00017,0.00151606,0.0138716,5.19235335,0.50201735,upper,balanced_early
P00018,0.0015677,0.03352662,5.13005245,0.35731685,upper,balanced_early
P00019,0.00172614,0.02827443,5.15069213,0.46489939,upper,balanced_early
P00020,0.00178454,-0.0049074,-5.12062326,0.00612259,lower,balanced_early
P00021,0.00188704,-0.00797501,4.98298418,0.51560496,upper,balanced_early
P00022,0.00198168,0.03288254,0.15553062,0.31780418,middle,balanced_early
P00023,0.00206478,0.05981508,0.09705362,0.37425372,middle,balanced_early
P00024,0.00228808,0.03617555,-4.96891606,-0.04023406,lower,balanced_early
P00025,0.00236268,-0.01052251,5.06448811,0.45136752,upper,balanced_early
P00026,0.00245576,0.01393678,-4.91454828,0.16406821,lower,balanced_early
P00027,0.00246807,0.01221369,-4.76478364,0.0027548,lower,balanced_early
P00028,0.00264586,0.01344727,5.14489143,0.40677117,upper,balanced_early
P00029,0.00279671,0.0186985,-5.13431447,0.05542698,lower,balanced_early
P00030,0.00279797,0.00367213,0.10871295,0.31403717,middle,balanced_early
P00031,0.00280698,0.02887283,0.1741039,0.42263952,middle,balanced_early
P00032,0.00298914,-0.00423775,-5.09472521,0.04612336,lower,balanced_early
P00033,0.00302691,0.03793198,5.16866581,0.50687331,upper,balanced_early
P00034,0.00310159,0.00858984,-4.9523694,0.03239294,lower,balanced_early
P00035,0.00312826,0.01193132,-4.95534014,-0.01304694,lower,balanced_early
P00036,0.00335564,-0.00092178,0.31874549,0.37045225,middle,balanced_early
P00037,0.00344617,0.10262531,0.05929304,0.29061084,middle,balanced_early
P00038,0.00351388,0.04211191,-0.02146671,0.33530454,middle,balanced_early
P00039,0.00375549,0.02654738,0.36161926,0.22083262,middle,balanced_early
P00040,0.00377373,-0.00731276,0.08186664,0.37416887,middle,balanced_early
P00041,0.00391051,0.0468818,-0.06826401,0.2656376,middle,balanced_early
P00042,0.00399994,0.02299182,-4.94301056,0.03919413,lower,balanced_early
P00043,0.00405244,0.02112514,-4.93168079,-0.03711069,lower,balanced_early
P00044,0.00409785,0.0511558,-4.97173666,0.07560696,lower,balanced_early
P00045,0.0041978,0.06758413,-4.69171222,0.04474106,lower,balanced_early
P00046,0.00427056,0.07004409,5.26646888,0.47401687,upper,balanced_early
P00047,0.00435111,0.05327247,4.96992961,0.39451239,upper,balanced_early
P00048,0.00436388,0.03740166,5.02398689,0.42743648,upper,balanced_early
P00049,0.00436643,0.09206325,0.08017708,0.40171742,middle,balanced_early
P00050,0.0044725,0.0703924,-5.06528932,-0.01975509,lower,balanced_early
P00051,0.00449598,0.05887202,5.18430019,0.55873555,upper,balanced_early
P00052,0.00449758,0.07326191,0.12823148,0.27205609,middle,balanced_early
P00053,0.00452446,0.0406697,0.10291235,0.26423158,middle,balanced_early
P00054,0.00459286,0.03002298,5.0925288,0.40745556,upper,balanced_early
P00055,0.0045957,0.06134274,-5.07572594,0.11326346,lower,balanced_early
P00056,0.00471305,0.02072253,0.17291372,0.39265237,middle,balanced_early
P00057,0.00483718,0.04264533,0.17531631,0.32999059,middle,balanced_early
P00058,0.00489238,0.03262411,5.18462382,0.31589362,upper,balanced_early
P00059,0.00499361,0.05555318,5.00172592,0.40920872,upper,balanced_early
P00060,0.00502084,0.02954685,5.13134282,0.52388408,upper,balanced_early
P00061,0.00506037,0.05487489,-5.31264012,-0.1626703,lower,balanced_early
P00062,0.00507225,0.05320865,0.03245965,0.16824577,middle,balanced_early
P00063,0.0050724,0.03141884,-4.94170841,0.08448774,lower,balanced_early
P00064,0.00529793,0.06470525,-4.94527847,0.04855272,lower,balanced_early
P00065,0.00539264,0.03843516,-4.76173514,-0.06107993,lower,balanced_early
P00066,0.00551672,0.03368755,0.2607972,0.34181883,middle,balanced_early
P00067,0.00557448,0.04194397,5.25656652,0.49248988,upper,balanced_early
P00068,0.00559924,0.05129941,-5.00312874,-0.02306962,lower,balanced_early
P00069,0.00560364,0.02899044,5.2328707,0.42284806,upper,balanced_early
P00070,0.0056329,0.00443792,0.05939907,0.49106981,middle,balanced_early
P00071,0.00569432,0.05387117,-4.80318481,0.04561753,lower,balanced_early
P00072,0.00575073,0.1188269,5.18051624,0.40742819,upper,balanced_early
