step,filter,seed,graph_degree,n_nodes,slab,n_slab,J,L,cells,xdeg,cv2,ari
0,xcoord,0,1.66,100,0,131,10,10,6,0.6,0.29747683701416,0.8669425051239309
0,xcoord,0,1.66,100,1,131,10,10,11,1.1,0.44542858807761787,0.5086207169891487
0,xcoord,0,1.66,100,2,131,10,10,8,0.8,0.2320960316997844,0.6201532589629564
0,xcoord,0,1.66,100,3,132,10,10,10,1.0,0.5495867768595042,0.7507350352682242
0,xcoord,0,1.66,100,4,132,10,10,10,1.0,0.38544536271809,0.6129003150422664
0,xcoord,0,1.66,100,5,132,10,10,10,1.0,0.5438475665748393,0.7176117759592431
0,xcoord,0,1.66,100,6,131,10,10,9,0.9,0.5360992949128838,0.805708777602775
0,xcoord,0,1.66,100,7,131,10,10,9,0.9,0.23297010663714238,0.5185674473330987
0,xcoord,0,1.66,100,8,131,10,10,10,1.0,0.6566633646057921,0.7924383968010138
0,xcoord,1,1.72,100,0,131,10,10,7,0.7,0.27469261698036235,0.7847113526151118
0,xcoord,1,1.72,100,1,131,10,10,11,1.1,0.2621059378824078,0.515829795623889
0,xcoord,1,1.72,100,2,131,10,10,8,0.8,0.49128838645766565,0.8776905484757144
0,xcoord,1,1.72,100,3,132,10,10,9,0.9,0.1053719008264463,0.4170629572774871
0,xcoord,1,1.72,100,4,132,10,10,12,1.2,0.46005509641873277,0.525330565423818
0,xcoord,1,1.72,100,5,132,10,10,11,1.1,0.481060606060606,0.587849398791425
0,xcoord,1,1.72,100,6,131,10,10,7,0.7,0.34240428879435925,0.8983467822768761
0,xcoord,1,1.72,100,7,131,10,10,11,1.1,0.3262047666219917,0.46867580956567273
0,xcoord,1,1.72,100,8,131,10,10,10,1.0,0.745236291591399,0.8194009646926135
0,xcoord,2,1.72,100,0,131,10,10,10,1.0,0.5168113746285182,0.687593927138646
0,xcoord,2,1.72,100,1,131,10,10,9,0.9,0.21618786783986946,0.5231689657112104
0,xcoord,2,1.72,100,2,131,10,10,9,0.9,0.4878503583707243,0.7876074950338172
0,xcoord,2,1.72,100,3,132,10,10,7,0.7,0.39164370982552793,0.9629366882792129
0,xcoord,2,1.72,100,4,132,10,10,12,1.2,0.33195592286501374,0.3845610339430129
0,xcoord,2,1.72,100,5,132,10,10,9,0.9,0.15082644628099173,0.4806835046829366
0,xcoord,2,1.72,100,6,131,10,10,11,1.1,0.445428588077618,0.5587979273772715
0,xcoord,2,1.72,100,7,131,10,10,8,0.8,0.48662665345842315,0.8915440398687037
0,xcoord,2,1.72,100,8,131,10,10,11,1.1,0.7454111065788708,0.7956157505949013
0,knn_k1,0,2.7,100,0,131,10,10,16,1.6,0.4162344851698619,0.7095233127900354
0,knn_k1,0,2.7,100,1,131,10,10,14,1.4,0.312627469261698,0.8240313575881294
