step,xcoord,knn_k1,dtm_k10,random,ecc_p1,gauss_0.1,dm_eig0
13,0.704516,0.726668,0.724943,0.732027,0.701822,0.710022,0.779719
12,0.746598,0.793873,0.768569,0.770235,0.808965,0.785074,0.709941
11,0.732416,0.729777,0.796965,0.759168,0.746421,0.772167,0.624363
10,0.782801,0.851654,0.703105,0.754027,0.714144,0.733411,0.743358
9,0.730134,0.681291,0.788193,0.735794,0.780404,0.704610,0.794988
8,0.703786,0.715607,0.714660,0.734927,0.707794,0.713260,0.728312
7,0.732732,0.658205,0.673385,0.716643,0.645663,0.740079,0.715127
6,0.801849,0.707891,0.681381,0.631611,0.769198,0.733610,0.749945
5,0.786557,0.650770,0.641010,0.698969,0.739869,0.718926,0.732061
4,0.717606,0.633758,0.677267,0.623164,0.731119,0.630550,0.728936
3,0.969993,0.570294,0.656142,0.628176,0.644473,0.615631,0.939967
2,1.257647,0.532471,0.571042,0.522141,0.670096,0.571783,1.050526
1,1.002200,0.419963,0.415821,0.391552,0.884970,0.449884,1.022298
0,0.446258,0.360209,0.319180,0.367289,0.462271,0.510653,0.452103
