step,filter,seed,graph_degree,n_nodes,slab,n_slab,J,L,cells,xdeg,cv2,ari
0,xcoord,0,2.2,100,0,131,10,10,10,1.0,0.5809102033681022,0.8882386146130039
0,xcoord,0,2.2,100,1,131,10,10,17,1.7,1.3091311695122663,0.6248809828467544
0,xcoord,0,2.2,100,2,131,10,10,12,1.2,1.0621175922149062,0.8498929325085939
0,xcoord,0,2.2,100,3,132,10,10,9,0.9,0.7107438016528926,0.904642187936788
0,xcoord,0,2.2,100,4,132,10,10,10,1.0,0.4428374655647383,0.7048062281915906
0,xcoord,0,2.2,100,5,132,10,10,13,1.3,1.1472681359044996,0.8262499426620614
0,xcoord,0,2.2,100,6,131,10,10,9,0.9,0.415476953557485,0.7417773927501594
0,xcoord,0,2.2,100,7,131,10,10,13,1.3,1.1188159198181924,0.8193630795993003
0,xcoord,0,2.2,100,8,131,10,10,17,1.7,1.0991200978963929,0.5703395738945719
0,xcoord,1,2.2,100,0,131,10,10,11,1.1,0.32107686032282506,0.5419653761889303
0,xcoord,1,2.2,100,1,131,10,10,15,1.5,1.0112464308606728,0.6117532469886945
0,xcoord,1,2.2,100,2,131,10,10,10,1.0,0.7359128255929142,0.8548375910029723
0,xcoord,1,2.2,100,3,132,10,10,11,1.1,1.0063131313131313,0.8761553814715113
0,xcoord,1,2.2,100,4,132,10,10,12,1.2,0.35674931129476584,0.48188707573143175
0,xcoord,1,2.2,100,5,132,10,10,14,1.4,0.8930211202938474,0.6613520921731791
0,xcoord,1,2.2,100,6,131,10,10,11,1.1,0.6402890274459532,0.6551541391040082
0,xcoord,1,2.2,100,7,131,10,10,13,1.3,1.005186177961657,0.8069839169540254
0,xcoord,1,2.2,100,8,131,10,10,13,1.3,0.8658003612843075,0.7049441266315223
0,xcoord,2,2.2,100,0,131,10,10,9,0.9,0.27702348347998373,0.6897872419714113
0,xcoord,2,2.2,100,1,131,10,10,17,1.7,0.861371714935027,0.5142197110799448
0,xcoord,2,2.2,100,2,131,10,10,13,1.3,1.1551774372122836,0.830189179793988
0,xcoord,2,2.2,100,3,132,10,10,9,0.9,0.7159090909090909,0.9092959274186138
0,xcoord,2,2.2,100,4,132,10,10,11,1.1,0.8194444444444444,0.8218942783860815
0,xcoord,2,2.2,100,5,132,10,10,11,1.1,0.88510101010101,0.8610380052275932
0,xcoord,2,2.2,100,6,131,10,10,10,1.0,0.5494435056232154,0.7357729518676703
0,xcoord,2,2.2,100,7,131,10,10,13,1.3,1.04609288503001,0.7987658414876149
0,xcoord,2,2.2,100,8,131,10,10,17,1.7,0.8237282209661441,0.4861012684532983
0,knn_k1,0,3.38,100,0,131,10,10,19,1.9,0.6264203717732068,0.6610116541758205
0,knn_k1,0,3.38,100,1,131,10,10,19,1.9,0.36291591399102624,0.6034636760619293
0,knn_k1,0,3.38,100,2,131,10,10,15,1.5,0.271779033855836,0.7558764492000312
0,knn_k1,0,3.38,100,3,132,10,10,19,1.9,0.47646923783287415,0.6311126016534436
0,knn_k1,0,3.38,100,4,132,10,10,17,1.7,0.3639807162534435,0.6671173757140103
