step,xcoord,knn_k1,dtm_k10,random,ecc_p1,gauss_0.1,dm_eig0
13,1.062996,0.565026,0.498888,0.603547,0.712866,0.434113,0.924240
12,1.074507,0.440608,0.496405,0.549606,0.420190,0.431339,1.079770
11,0.838297,0.469111,0.487334,0.519942,0.388527,0.407179,0.821572
10,0.891949,0.479717,0.476617,0.502697,0.424508,0.397095,0.846564
9,0.893020,0.431068,0.488720,0.461458,0.382120,0.451027,0.816408
8,0.892017,0.457079,0.463466,0.510039,0.314619,0.426088,0.771810
7,0.845436,0.490686,0.421112,0.501308,0.346821,0.505436,0.795293
6,0.814298,0.451374,0.472238,0.503333,0.379481,0.455299,0.848413
5,0.771073,0.449237,0.490984,0.506215,0.367623,0.497358,0.836222
4,0.852325,0.446585,0.458028,0.475780,0.340135,0.560400,0.851073
3,0.803282,0.487974,0.444181,0.519979,0.349273,0.532680,0.849565
2,0.850075,0.491115,0.517332,0.496680,0.323292,0.552936,0.682305
1,0.864071,0.530667,0.487716,0.533742,0.349861,0.449163,0.840461
0,0.846975,0.493374,0.504352,0.515402,0.346651,0.434806,0.806951
