step,filter,seed,graph_degree,n_nodes,slab,n_slab,J,L,cells,xdeg,cv2,ari
0,xcoord,0,2.66,100,0,131,10,10,13,1.3,0.4749140492978266,0.4650121971713868
0,xcoord,0,2.66,100,1,131,10,10,16,1.6,0.5933803391410757,0.5571706545738174
0,xcoord,0,2.66,100,2,131,10,10,14,1.4,0.6536332381562845,0.6819680895622252
0,xcoord,0,2.66,100,3,132,10,10,12,1.2,0.6225895316804407,0.5931753798631315
0,xcoord,0,2.66,100,4,132,10,10,17,1.7,0.43227731864095503,0.5064092167914794
0,xcoord,0,2.66,100,5,132,10,10,15,1.5,0.8853305785123966,0.6030695642010052
0,xcoord,0,2.66,100,6,131,10,10,14,1.4,0.4659984849367752,0.6069940401293997
0,xcoord,0,2.66,100,7,131,10,10,15,1.5,0.7944758463958977,0.5928026143807418
0,xcoord,0,2.66,100,8,131,10,10,17,1.7,1.4616863819124757,0.5951005158469017
0,xcoord,1,2.6,100,0,131,10,10,15,1.5,0.7595128489015792,0.5449913610022
0,xcoord,1,2.6,100,1,131,10,10,15,1.5,0.4658236699493037,0.5498936431084727
0,xcoord,1,2.6,100,2,131,10,10,16,1.6,0.6381329759338034,0.50308942005213
0,xcoord,1,2.6,100,3,132,10,10,12,1.2,0.5688705234159779,0.5840987504309165
0,xcoord,1,2.6,100,4,132,10,10,15,1.5,0.4996556473829201,0.6358421836488936
0,xcoord,1,2.6,100,5,132,10,10,14,1.4,0.6310835629017446,0.5844143162656399
0,xcoord,1,2.6,100,6,131,10,10,14,1.4,0.5247363207272303,0.6089408649344491
0,xcoord,1,2.6,100,7,131,10,10,14,1.4,1.1219043179301904,0.715944898963461
0,xcoord,1,2.6,100,8,131,10,10,15,1.5,0.6161645591748734,0.4070131430651365
0,xcoord,2,2.56,100,0,131,10,10,12,1.2,0.7180816968708119,0.6420313934504354
0,xcoord,2,2.56,100,1,131,10,10,14,1.4,0.4496824194394266,0.5590389799403005
0,xcoord,2,2.56,100,2,131,10,10,15,1.5,0.46931996969873563,0.5193180504480768
0,xcoord,2,2.56,100,3,132,10,10,12,1.2,0.18181818181818182,0.4167207388811135
0,xcoord,2,2.56,100,4,132,10,10,14,1.4,0.35468319559228645,0.6973561618432018
0,xcoord,2,2.56,100,5,132,10,10,16,1.6,0.7557392102846648,0.5484611512704316
0,xcoord,2,2.56,100,6,131,10,10,13,1.3,0.8688304877338149,0.9025939824819723
0,xcoord,2,2.56,100,7,131,10,10,16,1.6,1.0427714002680497,0.6365473440552242
0,xcoord,2,2.56,100,8,131,10,10,16,1.6,1.0558242526659285,0.43734642468265583
0,knn_k1,0,2.7,100,0,131,10,10,14,1.4,0.34036478060719066,0.8362425873123842
0,knn_k1,0,2.7,100,1,131,10,10,14,1.4,0.408892255696055,0.7055316373410144
0,knn_k1,0,2.7,100,2,131,10,10,15,1.5,0.6004312103024301,0.7877543574358783
