step,xcoord,knn_k1,dtm_k10,random,ecc_p1,gauss_0.1,dm_eig0
13,1.076456,0.565429,0.729048,0.509411,0.952447,0.738598,1.116950
12,1.193026,0.509103,0.605340,0.476987,0.945652,0.689806,0.979863
11,0.934676,0.496578,0.457314,0.391959,1.092082,0.547472,0.977978
10,0.998950,0.409501,0.355339,0.426466,0.692198,0.402107,0.820823
9,0.975785,0.369105,0.423290,0.349391,0.881237,0.408634,0.728706
8,0.827511,0.381734,0.341045,0.390959,0.846079,0.362897,0.915268
7,0.934442,0.362850,0.348407,0.382046,0.730095,0.328058,0.944932
6,0.694589,0.410170,0.340014,0.486931,0.708440,0.353241,0.746368
5,0.904427,0.396265,0.293021,0.480649,0.782207,0.335966,0.947077
4,0.847659,0.374303,0.289586,0.405820,0.652448,0.358485,0.818812
3,0.762725,0.362710,0.353604,0.413840,0.469689,0.309142,0.825652
2,0.630721,0.300483,0.301165,0.386325,0.265401,0.347635,0.778439
1,0.913037,0.322592,0.312776,0.360159,0.323932,0.295602,0.883161
0,0.677282,0.332421,0.326256,0.358057,0.229000,0.380165,0.815333
