step,filter,seed,graph_degree,n_nodes,slab,n_slab,J,L,cells,xdeg,cv2,ari
0,xcoord,0,1.64,100,0,131,10,10,9,0.9,0.2497523454344152,0.7123632191916583
0,xcoord,0,1.64,100,1,131,10,10,8,0.8,0.49408542625721114,0.7718577568987424
0,xcoord,0,1.64,100,2,131,10,10,10,1.0,0.37812481790105473,0.709833249894245
0,xcoord,0,1.64,100,3,132,10,10,9,0.9,0.5268595041322315,0.6571650633879085
0,xcoord,0,1.64,100,4,132,10,10,8,0.8,0.23875114784205692,0.8586335395887303
0,xcoord,0,1.64,100,5,132,10,10,10,1.0,0.1696510560146924,0.5665439955641999
0,xcoord,0,1.64,100,6,131,10,10,11,1.1,0.36338208729095045,0.5225012319454564
0,xcoord,0,1.64,100,7,131,10,10,7,0.7,0.38564186236233317,0.9104740202440793
0,xcoord,0,1.64,100,8,131,10,10,10,1.0,0.3722976516520017,0.6615340003844612
0,xcoord,1,1.64,100,0,131,10,10,8,0.8,0.2153137929025115,0.7670334794301825
0,xcoord,1,1.64,100,1,131,10,10,8,0.8,0.4950177728570596,0.8276208808213968
0,xcoord,1,1.64,100,2,131,10,10,10,1.0,0.16601596643552244,0.5365679891905172
0,xcoord,1,1.64,100,3,132,10,10,9,0.9,0.37603305785123975,0.589763758923316
0,xcoord,1,1.64,100,4,132,10,10,9,0.9,0.2882231404958678,0.7721355460030941
0,xcoord,1,1.64,100,5,132,10,10,10,1.0,0.18457300275482094,0.5445795871243115
0,xcoord,1,1.64,100,6,131,10,10,11,1.1,0.6454169337451199,0.7409601979925834
0,xcoord,1,1.64,100,7,131,10,10,7,0.7,0.38564186236233317,0.9104740202440793
0,xcoord,1,1.64,100,8,131,10,10,10,1.0,0.3757939514014334,0.6456620805542334
0,xcoord,2,1.62,100,0,131,10,10,8,0.8,0.13419963871569257,0.7025619404397089
0,xcoord,2,1.62,100,1,131,10,10,8,0.8,0.6441932288328186,0.8879201294299245
0,xcoord,2,1.62,100,2,131,10,10,9,0.9,0.19416117941844882,0.6595078198149569
0,xcoord,2,1.62,100,3,132,10,10,10,1.0,0.1191460055096419,0.44126237110908717
0,xcoord,2,1.62,100,4,132,10,10,8,0.8,0.08172635445362718,0.6533307860639327
0,xcoord,2,1.62,100,5,132,10,10,10,1.0,0.4267676767676768,0.7485932965841235
0,xcoord,2,1.62,100,6,131,10,10,11,1.1,0.44799254122720134,0.5558618022707998
0,xcoord,2,1.62,100,7,131,10,10,7,0.7,0.37585222306392396,0.9100173865642083
0,xcoord,2,1.62,100,8,131,10,10,10,1.0,0.46203601188741916,0.721912850367115
0,knn_k1,0,2.78,100,0,131,10,10,15,1.5,0.2612901346075404,0.7454173435273211
0,knn_k1,0,2.78,100,1,131,10,10,16,1.6,0.40504632597168,0.7931924862538897
0,knn_k1,0,2.78,100,2,131,10,10,14,1.4,0.2669424858691218,0.8279223255416008
0,knn_k1,0,2.78,100,3,132,10,10,16,1.6,0.3204775022956841,0.6653851952674238
0,knn_k1,0,2.78,100,4,132,10,10,14,1.4,0.3064738292011019,0.7648071280459079
0,knn_k1,0,2.78,100,5,132,10,10,16,1.6,0.3755739210284665,0.7858902303872322
0,knn_k1,0,2.78,100,6,131,10,10,14,1.4,0.34036478060719066,0.8017016238128162
0,knn_k1,0,2.78,100,7,131,10,10,16,1.6,0.37894062117592214,0.7753419479267116
0,knn_k1,0,2.78,100,8,131,10,10,18,1.8,0.30796573626245555,0.6532394659505294
0,knn_k1,1,2.86,100,0,131,10,10,14,1.4,0.3175222889109026,0.8496546168943192
0,knn_k1,1,2.86,100,1,131,10,10,19,1.9,0.4603461336751937,0.6621234542227449
0,knn_k1,1,2.86,100,2,131,10,10,11,1.1,0.13647223355282326,0.9627335273099734
0,knn_k1,1,2.86,100,3,132,10,10,17,1.7,0.4791092745638201,0.6896123377023379
0,knn_k1,1,2.86,100,4,132,10,10,17,1.7,0.49471992653810837,0.7348013215193665
0,knn_k1,1,2.86,100,5,132,10,10,13,1.3,0.18778696051423327,0.8526344720030424
0,knn_k1,1,2.86,100,6,131,10,10,15,1.5,0.36792727696521177,0.8284328917770557
0,knn_k1,1,2.86,100,7,131,10,10,18,1.8,0.21776120272711377,0.5690262555469738
0,knn_k1,1,2.86,100,8,131,10,10,19,1.9,0.4847036885962357,0.7072885836126809
0,knn_k1,2,2.84,100,0,131,10,10,15,1.5,0.2875123827282793,0.7822598689467796
0,knn_k1,2,2.84,100,1,131,10,10,15,1.5,0.23331973661208558,0.6915533150554393
0,knn_k1,2,2.84,100,2,131,10,10,15,1.5,0.33121612959617747,0.8048103489248826
0,knn_k1,2,2.84,100,3,132,10,10,17,1.7,0.35227272727272724,0.606548756957163
0,knn_k1,2,2.84,100,4,132,10,10,14,1.4,0.39807162534435264,0.827873297075239
0,knn_k1,2,2.84,100,5,132,10,10,17,1.7,0.42642332415059686,0.7549660550231123
0,knn_k1,2,2.84,100,6,131,10,10,15,1.5,0.20360118874191482,0.6663961317441128
0,knn_k1,2,2.84,100,7,131,10,10,16,1.6,0.36775246197774025,0.7881705726245218
0,knn_k1,2,2.84,100,8,131,10,10,18,1.8,0.26810791911893245,0.6002065100079385
0,dtm_k10,0,2.44,100,0,131,10,10,14,1.4,0.3991026163976457,0.8002818435357058
0,dtm_k10,0,2.44,100,1,131,10,10,12,1.2,0.26216420954489833,0.8629441300364292
0,dtm_k10,0,2.44,100,2,131,10,10,10,1.0,0.13571470194044638,1.0
0,dtm_k10,0,2.44,100,3,132,10,10,13,1.3,0.3205922865013774,0.8181871951778809
0,dtm_k10,0,2.44,100,4,132,10,10,16,1.6,0.45821854912764004,0.7522484499561432
0,dtm_k10,0,2.44,100,5,132,10,10,16,1.6,0.7594123048668503,0.8179741317795459
0,dtm_k10,0,2.44,100,6,131,10,10,15,1.5,0.5951867606782824,0.874232203759231
0,dtm_k10,0,2.44,100,7,131,10,10,13,1.3,0.40976633063341295,0.8211245096255786
0,dtm_k10,0,2.44,100,8,131,10,10,13,1.3,0.287046209428355,0.8407294374502436
0,dtm_k10,1,2.5,100,0,131,10,10,14,1.4,0.3305751413087814,0.7445064147731261
0,dtm_k10,1,2.5,100,1,131,10,10,13,1.3,0.3128022842491696,0.8209185924696749
0,dtm_k10,1,2.5,100,2,131,10,10,11,1.1,0.17749548394615702,0.9287061759590532
0,dtm_k10,1,2.5,100,3,132,10,10,14,1.4,0.222910927456382,0.728000347955781
0,dtm_k10,1,2.5,100,4,132,10,10,16,1.6,0.5867768595041323,0.7839860659198531
0,dtm_k10,1,2.5,100,5,132,10,10,15,1.5,0.6649449035812672,0.8380374034249822
0,dtm_k10,1,2.5,100,6,131,10,10,14,1.4,0.31915389546063755,0.7236000254554017
0,dtm_k10,1,2.5,100,7,131,10,10,13,1.3,0.44915797447701183,0.8489254976757444
0,dtm_k10,1,2.5,100,8,131,10,10,15,1.5,0.41337917370782595,0.8044300675578376
0,dtm_k10,2,2.4,100,0,131,10,10,12,1.2,0.34467688363149,0.9281954619570665
0,dtm_k10,2,2.4,100,1,131,10,10,10,1.0,0.16834683293514363,1.0
0,dtm_k10,2,2.4,100,2,131,10,10,11,1.1,0.16595769477303188,0.914204560911739
0,dtm_k10,2,2.4,100,3,132,10,10,13,1.3,0.3384986225895317,0.8923170541377812
0,dtm_k10,2,2.4,100,4,132,10,10,18,1.8,0.6157024793388431,0.6892765480104723
0,dtm_k10,2,2.4,100,5,132,10,10,16,1.6,0.768595041322314,0.8242747369474405
0,dtm_k10,2,2.4,100,6,131,10,10,13,1.3,0.2961365887768778,0.7969603266220934
0,dtm_k10,2,2.4,100,7,131,10,10,14,1.4,0.6715809102033681,0.9210703159319993
0,dtm_k10,2,2.4,100,8,131,10,10,13,1.3,0.2461395023600024,0.806087849638387
0,random,0,3.14,100,0,131,10,10,20,2.0,0.3227667385350505,0.4917787833936433
0,random,0,3.14,100,1,131,10,10,19,1.9,0.32527242002214324,0.5849028547251204
0,random,0,3.14,100,2,131,10,10,16,1.6,0.2092535400034963,0.6581660518977058
0,random,0,3.14,100,3,132,10,10,19,1.9,0.42194674012855826,0.6188396407456981
0,random,0,3.14,100,4,132,10,10,17,1.7,0.48691460055096425,0.770318087065743
0,random,0,3.14,100,5,132,10,10,17,1.7,0.41666666666666674,0.754726892583958
0,random,0,3.14,100,6,131,10,10,16,1.6,0.33232329118349746,0.7530269130321151
0,random,0,3.14,100,7,131,10,10,16,1.6,0.543033622749257,0.9049092606569968
0,random,0,3.14,100,8,131,10,10,17,1.7,0.253132101858866,0.6484414875560537
0,random,1,3.1,100,0,131,10,10,19,1.9,0.30755783462502184,0.5225876143771305
0,random,1,3.1,100,1,131,10,10,20,2.0,0.4766039275100519,0.6080938917746072
0,random,1,3.1,100,2,131,10,10,18,1.8,0.5827748965677989,0.7761744307805051
0,random,1,3.1,100,3,132,10,10,17,1.7,0.32495408631772266,0.6805966834302715
0,random,1,3.1,100,4,132,10,10,17,1.7,0.17860422405876952,0.6000043828731926
0,random,1,3.1,100,5,132,10,10,15,1.5,0.22761707988980712,0.7335999482901783
0,random,1,3.1,100,6,131,10,10,17,1.7,0.4354058621292465,0.7524739759569834
0,random,1,3.1,100,7,131,10,10,17,1.7,0.26105704795757817,0.6561831046436817
0,random,1,3.1,100,8,131,10,10,15,1.5,0.30324573160072266,0.7583077692771304
0,random,2,3.16,100,0,131,10,10,14,1.4,0.3452596002563953,0.8792980125194
0,random,2,3.16,100,1,131,10,10,19,1.9,0.41384534700775016,0.6426809358967673
0,random,2,3.16,100,2,131,10,10,17,1.7,0.2848318862537147,0.6615305068021058
0,random,2,3.16,100,3,132,10,10,20,2.0,0.28558310376492196,0.5404478344281886
0,random,2,3.16,100,4,132,10,10,18,1.8,0.4483471074380166,0.6759561374033851
0,random,2,3.16,100,5,132,10,10,19,1.9,0.27146464646464635,0.552990098745128
0,random,2,3.16,100,6,131,10,10,17,1.7,0.3878561855369733,0.6914262015228966
0,random,2,3.16,100,7,131,10,10,20,2.0,0.39735446652293,0.5949923920811954
0,random,2,3.16,100,8,131,10,10,14,1.4,0.25552124002097776,0.8387666866538328
0,ecc_p1,0,1.62,100,0,131,10,10,9,0.9,0.41862362333197367,0.7196953164351837
0,ecc_p1,0,1.62,100,1,131,10,10,9,0.9,0.1742322708466873,0.5324417770488015
0,ecc_p1,0,1.62,100,2,131,10,10,9,0.9,0.31268574092418855,0.7985732455076782
0,ecc_p1,0,1.62,100,3,132,10,10,10,1.0,0.21900826446280997,0.5063801590845104
0,ecc_p1,0,1.62,100,4,132,10,10,8,0.8,0.24242424242424243,0.6689675502890923
0,ecc_p1,0,1.62,100,5,132,10,10,10,1.0,0.3429752066115704,0.5308130800632158
0,ecc_p1,0,1.62,100,6,131,10,10,8,0.8,0.27311928209311814,0.7413661267997869
0,ecc_p1,0,1.62,100,7,131,10,10,9,0.9,0.2445078958102674,0.7370582278575621
0,ecc_p1,0,1.62,100,8,131,10,10,9,0.9,0.6210593788240779,0.8100149937859299
0,ecc_p1,1,1.62,100,0,131,10,10,8,0.8,0.3057514130878154,0.7641954626937024
0,ecc_p1,1,1.62,100,1,131,10,10,10,1.0,0.30004079016374346,0.5142300295483405
0,ecc_p1,1,1.62,100,2,131,10,10,10,1.0,0.18466289843249228,0.5837367961232479
0,ecc_p1,1,1.62,100,3,132,10,10,7,0.7,0.4398530762167125,0.8720556235028545
0,ecc_p1,1,1.62,100,4,132,10,10,9,0.9,0.27066115702479343,0.5899936895795915
0,ecc_p1,1,1.62,100,5,132,10,10,10,1.0,0.353305785123967,0.5326308224814162
0,ecc_p1,1,1.62,100,6,131,10,10,10,1.0,0.5704213041198066,0.8337037931266226
0,ecc_p1,1,1.62,100,7,131,10,10,8,0.8,0.28057805489190607,0.8348805017244608
0,ecc_p1,1,1.62,100,8,131,10,10,9,0.9,0.4805081288969174,0.7185351200693394
0,ecc_p1,2,1.58,100,0,131,10,10,9,0.9,0.40184138453470075,0.7135464488784105
0,ecc_p1,2,1.58,100,1,131,10,10,8,0.8,0.1696288095099353,0.6387397839024576
0,ecc_p1,2,1.58,100,2,131,10,10,8,0.8,0.32533069168463374,0.9446881202172379
0,ecc_p1,2,1.58,100,3,132,10,10,10,1.0,0.2304866850321396,0.5189077430077619
0,ecc_p1,2,1.58,100,4,132,10,10,8,0.8,0.43526170798898073,0.76589993676908
0,ecc_p1,2,1.58,100,5,132,10,10,10,1.0,0.37511478420569333,0.6346804146230085
0,ecc_p1,2,1.58,100,6,131,10,10,8,0.8,0.48662665345842315,0.8867669144309029
0,ecc_p1,2,1.58,100,7,131,10,10,9,0.9,0.3693257968649845,0.780920083953942
0,ecc_p1,2,1.58,100,8,131,10,10,9,0.9,0.481557018821747,0.7505026627157161
0,gauss_0.1,0,1.9,100,0,131,10,10,11,1.1,0.2646698910319912,0.8628353272192272
0,gauss_0.1,0,1.9,100,1,131,10,10,13,1.3,0.479459238972088,0.6859859892043283
0,gauss_0.1,0,1.9,100,2,131,10,10,9,0.9,0.44379698152788294,1.0
0,gauss_0.1,0,1.9,100,3,132,10,10,10,1.0,0.1524334251606979,0.9450688968352883
0,gauss_0.1,0,1.9,100,4,132,10,10,11,1.1,0.43813131313131315,0.9567595244800378
0,gauss_0.1,0,1.9,100,5,132,10,10,10,1.0,0.19260789715335172,0.9531203101042197
0,gauss_0.1,0,1.9,100,6,131,10,10,12,1.2,0.45376143581376394,0.7152647006811106
0,gauss_0.1,0,1.9,100,7,131,10,10,9,0.9,0.6808461045393625,0.996040415568965
0,gauss_0.1,0,1.9,100,8,131,10,10,10,1.0,0.28139385816677354,0.8229071589565286
0,gauss_0.1,1,1.9,100,0,131,10,10,11,1.1,0.26466989103199123,0.8628353272192272
0,gauss_0.1,1,1.9,100,1,131,10,10,13,1.3,0.4779441757473341,0.6828315111060277
0,gauss_0.1,1,1.9,100,2,131,10,10,9,0.9,0.44379698152788294,1.0
0,gauss_0.1,1,1.9,100,3,132,10,10,10,1.0,0.1524334251606979,0.9450688968352883
0,gauss_0.1,1,1.9,100,4,132,10,10,12,1.2,0.46143250688705234,0.8644059442541341
0,gauss_0.1,1,1.9,100,5,132,10,10,10,1.0,0.1926078971533517,0.9531203101042197
0,gauss_0.1,1,1.9,100,6,131,10,10,12,1.2,0.45376143581376394,0.7152647006811106
0,gauss_0.1,1,1.9,100,7,131,10,10,9,0.9,0.6808461045393625,0.996040415568965
0,gauss_0.1,1,1.9,100,8,131,10,10,9,0.9,0.16793893129770993,0.7167396598097823
0,gauss_0.1,2,1.9,100,0,131,10,10,11,1.1,0.2646698910319912,0.8628353272192272
0,gauss_0.1,2,1.9,100,1,131,10,10,13,1.3,0.479459238972088,0.6859859892043283
0,gauss_0.1,2,1.9,100,2,131,10,10,9,0.9,0.4437969815278829,1.0
0,gauss_0.1,2,1.9,100,3,132,10,10,10,1.0,0.1524334251606979,0.9450688968352883
0,gauss_0.1,2,1.9,100,4,132,10,10,12,1.2,0.46143250688705234,0.8644059442541341
0,gauss_0.1,2,1.9,100,5,132,10,10,10,1.0,0.19260789715335172,0.9531203101042197
0,gauss_0.1,2,1.9,100,6,131,10,10,12,1.2,0.4537614358137638,0.7152647006811106
0,gauss_0.1,2,1.9,100,7,131,10,10,9,0.9,0.6808461045393623,0.996040415568965
0,gauss_0.1,2,1.9,100,8,131,10,10,9,0.9,0.19730784919293748,0.8622477249124725
0,dm_eig0,0,1.7,100,0,131,10,10,9,0.9,0.38086358603810966,0.6765538573752311
0,dm_eig0,0,1.7,100,1,131,10,10,10,1.0,0.30004079016374346,0.6615213806509386
0,dm_eig0,0,1.7,100,2,131,10,10,10,1.0,0.25225802692150806,0.5113276735729254
0,dm_eig0,0,1.7,100,3,132,10,10,9,0.9,0.21590909090909094,0.7164254888483707
0,dm_eig0,0,1.7,100,4,132,10,10,10,1.0,0.3383838383838384,0.5481616954401959
0,dm_eig0,0,1.7,100,5,132,10,10,8,0.8,0.26078971533516987,0.8531357194292237
0,dm_eig0,0,1.7,100,6,131,10,10,9,0.9,0.7165083619835672,0.7643644522331792
0,dm_eig0,0,1.7,100,7,131,10,10,11,1.1,0.3954315016607423,0.670401784556325
0,dm_eig0,0,1.7,100,8,131,10,10,9,0.9,0.1962589592681079,0.5943944439853945
0,dm_eig0,1,1.76,100,0,131,10,10,10,1.0,0.48184837713419976,0.738599052496388
0,dm_eig0,1,1.76,100,1,131,10,10,10,1.0,0.12172950294271898,0.513180567766303
0,dm_eig0,1,1.76,100,2,131,10,10,10,1.0,0.2254530621758639,0.5112514255712322
0,dm_eig0,1,1.76,100,3,132,10,10,10,1.0,0.252295684113866,0.6315456963744819
0,dm_eig0,1,1.76,100,4,132,10,10,9,0.9,0.42045454545454547,0.6427193738807455
0,dm_eig0,1,1.76,100,5,132,10,10,9,0.9,0.2809917355371901,0.7317276553050361
0,dm_eig0,1,1.76,100,6,131,10,10,10,1.0,0.8023425208321194,0.7314825917773341
0,dm_eig0,1,1.76,100,7,131,10,10,10,1.0,0.19981353068003035,0.5630116049519241
0,dm_eig0,1,1.76,100,8,131,10,10,10,1.0,0.30819882291241774,0.6875156047223502
0,dm_eig0,2,1.74,100,0,131,10,10,9,0.9,0.3861080356622574,0.6315125429684443
0,dm_eig0,2,1.74,100,1,131,10,10,10,1.0,0.3093642561622283,0.6555800969402309
0,dm_eig0,2,1.74,100,2,131,10,10,10,1.0,0.20330983042946218,0.5786826908407542
0,dm_eig0,2,1.74,100,3,132,10,10,10,1.0,0.23507805325987147,0.5958491469311793
0,dm_eig0,2,1.74,100,4,132,10,10,10,1.0,0.2821395775941231,0.5456898078999606
0,dm_eig0,2,1.74,100,5,132,10,10,9,0.9,0.30578512396694213,0.771174473021181
0,dm_eig0,2,1.74,100,6,131,10,10,9,0.9,0.693432783637317,0.7648796364331403
0,dm_eig0,2,1.74,100,7,131,10,10,10,1.0,0.21729502942718956,0.5742048045364362
0,dm_eig0,2,1.74,100,8,131,10,10,10,1.0,0.371132218402191,0.7398905516005617
1,xcoord,0,1.9,100,0,131,10,10,13,1.3,1.00215605151215,0.7817853308480668
1,xcoord,0,1.9,100,1,131,10,10,10,1.0,0.3571470194044637,0.6215517320664289
1,xcoord,0,1.9,100,2,131,10,10,9,0.9,0.6116193695006119,0.7237570791032701
1,xcoord,0,1.9,100,3,132,10,10,11,1.1,0.4974747474747475,0.6413082242561445
1,xcoord,0,1.9,100,4,132,10,10,8,0.8,0.11202938475665748,0.7633370499802131
1,xcoord,0,1.9,100,5,132,10,10,10,1.0,0.20982552800734622,0.5112298652252288
1,xcoord,0,1.9,100,6,131,10,10,10,1.0,0.40376434939688827,0.6480403406144482
1,xcoord,0,1.9,100,7,131,10,10,10,1.0,0.2837247246663948,0.5340224413584181
1,xcoord,0,1.9,100,8,131,10,10,14,1.4,0.3664704854029485,0.510265774560726
1,xcoord,1,1.86,100,0,131,10,10,11,1.1,0.6159314725249113,0.7014267108690504
1,xcoord,1,1.86,100,1,131,10,10,11,1.1,0.804382029019288,0.7866636744564617
1,xcoord,1,1.86,100,2,131,10,10,9,0.9,0.6881883340131693,0.8166589133863581
1,xcoord,1,1.86,100,3,132,10,10,9,0.9,0.44731404958677695,0.8220273566554481
1,xcoord,1,1.86,100,4,132,10,10,10,1.0,0.23966942148760337,0.5872739390441051
1,xcoord,1,1.86,100,5,132,10,10,10,1.0,0.0674931129476584,0.44351895764550486
1,xcoord,1,1.86,100,6,131,10,10,10,1.0,0.386282850649729,0.5478147098781797
1,xcoord,1,1.86,100,7,131,10,10,10,1.0,0.5541052386224579,0.7699704485661907
1,xcoord,1,1.86,100,8,131,10,10,13,1.3,0.5249111357147019,0.6298496333656207
1,xcoord,2,1.92,100,0,131,10,10,13,1.3,0.6279354349979605,0.5648815638597888
1,xcoord,2,1.92,100,1,131,10,10,11,1.1,0.4403006817784512,0.6369263015979341
1,xcoord,2,1.92,100,2,131,10,10,8,0.8,0.3048190664879669,0.6660049791029803
1,xcoord,2,1.92,100,3,132,10,10,9,0.9,0.4349173553719009,0.8164367607231723
1,xcoord,2,1.92,100,4,132,10,10,10,1.0,0.318870523415978,0.6421167864695692
1,xcoord,2,1.92,100,5,132,10,10,10,1.0,0.14554637281910013,0.48616640069211836
