step,xcoord,knn_k1,dtm_k10,random,ecc_p1,gauss_0.1,dm_eig0
13,0.635275,0.496474,0.525776,0.528931,0.369109,0.545725,0.612002
12,0.581668,0.562868,0.504594,0.540344,0.371444,0.487871,0.617483
11,0.535542,0.464631,0.492584,0.532270,0.393728,0.606273,0.554198
10,0.632183,0.454777,0.533761,0.504584,0.399622,0.512932,0.685355
9,0.596333,0.494470,0.509270,0.462780,0.339688,0.534222,0.774595
8,0.646185,0.427296,0.441392,0.456076,0.365497,0.468190,0.791118
7,0.790979,0.462310,0.431520,0.378360,0.380060,0.612429,0.782546
6,0.672872,0.376510,0.373106,0.398904,0.415035,0.484945,0.697612
5,0.665950,0.373847,0.402208,0.379954,0.392837,0.430850,0.746717
4,0.699421,0.327638,0.435787,0.356863,0.362415,0.408284,0.591222
3,0.524966,0.362206,0.401645,0.374221,0.370769,0.372178,0.554675
2,0.623787,0.333832,0.345512,0.371258,0.373151,0.360637,0.551354
1,0.462884,0.403346,0.401324,0.347343,0.392128,0.347292,0.317020
0,0.365048,0.345226,0.403225,0.363161,0.357796,0.391124,0.345712
