step,filter,seed,graph_degree,n_nodes,slab,n_slab,J,L,cells,xdeg,cv2,ari
0,xcoord,0,3.38,100,0,131,10,10,17,1.7,0.6850416642386805,0.3975033593733654
0,xcoord,0,3.38,100,1,131,10,10,21,2.1,0.7242002214323174,0.3423707983877986
0,xcoord,0,3.38,100,2,131,10,10,18,1.8,0.9666686090554161,0.5522382195867459
0,xcoord,0,3.38,100,3,132,10,10,20,2.0,0.6230486685032139,0.4704704484022319
0,xcoord,0,3.38,100,4,132,10,10,20,2.0,1.7433425160697893,0.538208632375589
0,xcoord,0,3.38,100,5,132,10,10,16,1.6,0.19008264462809918,0.3941496378421621
0,xcoord,0,3.38,100,6,131,10,10,21,2.1,0.8123069751180002,0.45680927113555625
0,xcoord,0,3.38,100,7,131,10,10,18,1.8,0.5995571353650719,0.5499760570189948
0,xcoord,0,3.38,100,8,131,10,10,18,1.8,0.5911660159664355,0.4154007012122293
0,xcoord,1,3.22,100,0,131,10,10,17,1.7,0.48691801177087574,0.3526489635621213
0,xcoord,1,3.22,100,1,131,10,10,19,1.9,0.6884214206631315,0.4005618641924044
0,xcoord,1,3.22,100,2,131,10,10,21,2.1,0.48435405862129244,0.3572364507668113
0,xcoord,1,3.22,100,3,132,10,10,17,1.7,0.7483930211202938,0.4864422073102756
0,xcoord,1,3.22,100,4,132,10,10,18,1.8,0.7231404958677689,0.40716365937910787
0,xcoord,1,3.22,100,5,132,10,10,18,1.8,0.30578512396694213,0.5662477781757583
0,xcoord,1,3.22,100,6,131,10,10,13,1.3,0.28553114620360126,0.4010295788943501
0,xcoord,1,3.22,100,7,131,10,10,21,2.1,0.5553289435347589,0.5432710511664575
0,xcoord,1,3.22,100,8,131,10,10,17,1.7,0.538430161412505,0.3943059884212003
0,xcoord,2,3.38,100,0,131,10,10,18,1.8,0.7652817434881417,0.43225081338694693
0,xcoord,2,3.38,100,1,131,10,10,18,1.8,0.6457082920575723,0.36802449894990924
0,xcoord,2,3.38,100,2,131,10,10,19,1.9,0.526775828914399,0.3395978976075828
0,xcoord,2,3.38,100,3,132,10,10,16,1.6,0.5941230486685032,0.4591132172245759
