step,xcoord,knn_k1,dtm_k10,random,ecc_p1,gauss_0.1,dm_eig0
13,0.371280,0.592891,0.587996,0.653167,0.407765,0.593474,0.438035
12,0.466675,0.612184,0.597204,0.630788,0.563027,0.639561,0.421849
11,0.440002,0.513001,0.569675,0.634247,0.551045,0.615786,0.438174
10,0.425828,0.542161,0.417858,0.496974,0.639042,0.514415,0.508410
9,0.450587,0.278783,0.269402,0.165257,0.562206,0.340071,0.426126
8,0.341326,0.173795,0.179805,0.099574,0.455202,0.184904,0.433569
7,0.363872,0.103223,0.106522,0.076683,0.288585,0.103223,0.558130
6,0.356598,0.105671,0.100904,0.068996,0.148163,0.126159,0.617955
5,0.510712,0.096911,0.080419,0.065432,0.151443,0.180902,0.433066
4,0.589793,0.122291,0.130408,0.078444,0.284570,0.160840,0.613141
3,0.549909,0.099101,0.137494,0.077070,0.416674,0.102193,0.643257
2,0.571258,0.109021,0.132083,0.080291,0.308976,0.083783,0.569214
1,0.606999,0.126929,0.091371,0.061180,0.468813,0.162445,0.619965
0,0.647985,0.088536,0.055039,0.071959,0.917029,0.709342,0.679582
