step,xcoord,knn_k1,dtm_k10,random,ecc_p1,gauss_0.1,dm_eig0
13,0.579832,0.376580,0.366831,0.336023,0.563677,0.388186,0.691761
12,0.638413,0.362415,0.358320,0.323003,0.683368,0.378446,0.677684
11,0.614456,0.329391,0.363330,0.346691,0.622755,0.341426,0.636021
10,0.680674,0.354824,0.369733,0.340128,0.628475,0.461861,0.639826
9,0.587692,0.358533,0.354873,0.336788,0.601725,0.448384,0.642315
8,0.547211,0.308713,0.363929,0.351929,0.641923,0.352580,0.498684
7,0.550467,0.285548,0.350640,0.330612,0.610373,0.382658,0.558384
6,0.742223,0.354441,0.377296,0.317046,0.617398,0.352402,0.630886
5,0.624133,0.372644,0.288200,0.359056,0.636805,0.369287,0.615580
4,0.532419,0.367810,0.326765,0.363867,0.677959,0.362290,0.583168
3,0.564253,0.319903,0.331876,0.398330,0.575207,0.393077,0.680607
2,0.788871,0.362605,0.364190,0.357862,0.721596,0.401308,0.778359
1,0.618592,0.417233,0.425110,0.405514,0.649309,0.429622,0.646494
0,0.695834,0.384372,0.361544,0.406628,0.666081,0.410906,0.623699
