step,filter,seed,graph_degree,n_nodes,slab,n_slab,J,L,cells,xdeg,cv2,ari
0,xcoord,0,2.06,100,0,131,10,10,14,1.4,0.7466348114911717,0.7028551060328191
0,xcoord,0,2.06,100,1,131,10,10,9,0.9,0.9136996678515238,0.8452100510593014
0,xcoord,0,2.06,100,2,131,10,10,12,1.2,0.5069051920051281,0.6434848808731738
0,xcoord,0,2.06,100,3,132,10,10,9,0.9,0.5278925619834711,0.626364854817493
0,xcoord,0,2.06,100,4,132,10,10,11,1.1,0.4747474747474747,0.7951221193526345
0,xcoord,0,2.06,100,5,132,10,10,7,0.7,0.2936179981634527,0.5938180456873362
0,xcoord,0,2.06,100,6,131,10,10,14,1.4,0.8135306800303012,0.7381756835719899
0,xcoord,0,2.06,100,7,131,10,10,13,1.3,0.5703630324573161,0.4819122116710944
0,xcoord,0,2.06,100,8,131,10,10,14,1.4,0.8641104830720819,0.6147201620349686
0,xcoord,1,1.98,100,0,131,10,10,14,1.4,0.6552648447060193,0.6853567579696204
0,xcoord,1,1.98,100,1,131,10,10,10,1.0,1.007458772798788,0.8194109897208018
0,xcoord,1,1.98,100,2,131,10,10,12,1.2,0.44257327661558193,0.5661480367640166
0,xcoord,1,1.98,100,3,132,10,10,8,0.8,0.3939393939393939,0.6634051985127486
0,xcoord,1,1.98,100,4,132,10,10,12,1.2,0.31267217630853994,0.5936123062916675
0,xcoord,1,1.98,100,5,132,10,10,8,0.8,0.37373737373737376,0.5800980611594191
0,xcoord,1,1.98,100,6,131,10,10,12,1.2,0.36006060252899025,0.6594377747938445
0,xcoord,1,1.98,100,7,131,10,10,12,1.2,0.8187751296544492,0.6285645539637026
0,xcoord,1,1.98,100,8,131,10,10,11,1.1,0.8813006235067888,0.9207033848376001
0,xcoord,2,2.04,100,0,131,10,10,15,1.5,0.3958976749606667,0.4905953552860138
0,xcoord,2,2.04,100,1,131,10,10,9,0.9,0.6000815803274867,0.6439572386301866
0,xcoord,2,2.04,100,2,131,10,10,13,1.3,0.5491521473107629,0.6918471562365343
0,xcoord,2,2.04,100,3,132,10,10,6,0.6,0.14325068870523416,0.5081952649973713
0,xcoord,2,2.04,100,4,132,10,10,13,1.3,0.6041092745638201,0.7366208730585103
0,xcoord,2,2.04,100,5,132,10,10,8,0.8,0.3921028466483012,0.649199246189353
0,xcoord,2,2.04,100,6,131,10,10,13,1.3,0.5521822737602704,0.724601512926693
0,xcoord,2,2.04,100,7,131,10,10,12,1.2,0.4369791970164909,0.4627266675260038
0,xcoord,2,2.04,100,8,131,10,10,13,1.3,0.4461278480275042,0.5224040892815607
0,knn_k1,0,1.8,100,0,131,10,10,10,1.0,0.0960899714468854,1.0
0,knn_k1,0,1.8,100,1,131,10,10,10,1.0,0.09375910494726415,1.0
0,knn_k1,0,1.8,100,2,131,10,10,10,1.0,0.08093933919934737,1.0
0,knn_k1,0,1.8,100,3,132,10,10,10,1.0,0.05716253443526171,1.0
0,knn_k1,0,1.8,100,4,132,10,10,10,1.0,0.061753902662993576,1.0
0,knn_k1,0,1.8,100,5,132,10,10,10,1.0,0.15932047750229572,1.0
0,knn_k1,0,1.8,100,6,131,10,10,10,1.0,0.18815919818192414,1.0
0,knn_k1,0,1.8,100,7,131,10,10,10,1.0,0.14853446768836315,1.0
0,knn_k1,0,1.8,100,8,131,10,10,10,1.0,0.1182332031932871,1.0
0,knn_k1,1,1.8,100,0,131,10,10,10,1.0,0.0960899714468854,1.0
0,knn_k1,1,1.8,100,1,131,10,10,10,1.0,0.09375910494726414,1.0
0,knn_k1,1,1.8,100,2,131,10,10,10,1.0,0.08093933919934737,1.0
0,knn_k1,1,1.8,100,3,132,10,10,10,1.0,0.05716253443526171,1.0
0,knn_k1,1,1.8,100,4,132,10,10,10,1.0,0.061753902662993576,1.0
0,knn_k1,1,1.8,100,5,132,10,10,10,1.0,0.15932047750229572,1.0
0,knn_k1,1,1.8,100,6,131,10,10,10,1.0,0.18815919818192414,1.0
0,knn_k1,1,1.8,100,7,131,10,10,10,1.0,0.14853446768836318,1.0
0,knn_k1,1,1.8,100,8,131,10,10,10,1.0,0.1182332031932871,1.0
0,knn_k1,2,1.8,100,0,131,10,10,10,1.0,0.09608997144688537,1.0
0,knn_k1,2,1.8,100,1,131,10,10,10,1.0,0.09375910494726414,1.0
0,knn_k1,2,1.8,100,2,131,10,10,10,1.0,0.08093933919934737,1.0
0,knn_k1,2,1.8,100,3,132,10,10,10,1.0,0.05716253443526171,1.0
0,knn_k1,2,1.8,100,4,132,10,10,10,1.0,0.061753902662993576,1.0
0,knn_k1,2,1.8,100,5,132,10,10,10,1.0,0.15932047750229572,1.0
0,knn_k1,2,1.8,100,6,131,10,10,10,1.0,0.18815919818192414,1.0
0,knn_k1,2,1.8,100,7,131,10,10,10,1.0,0.14853446768836318,1.0
0,knn_k1,2,1.8,100,8,131,10,10,10,1.0,0.1182332031932871,1.0
0,dtm_k10,0,1.8,100,0,131,10,10,10,1.0,0.13571470194044638,1.0
0,dtm_k10,0,1.8,100,1,131,10,10,10,1.0,0.19398636443097722,1.0
0,dtm_k10,0,1.8,100,2,131,10,10,10,1.0,0.1776702989336286,1.0
0,dtm_k10,0,1.8,100,3,132,10,10,10,1.0,0.04224058769513315,1.0
0,dtm_k10,0,1.8,100,4,132,10,10,10,1.0,0.025022956841138665,1.0
0,dtm_k10,0,1.8,100,5,132,10,10,10,1.0,0.061753902662993576,1.0
0,dtm_k10,0,1.8,100,6,131,10,10,10,1.0,0.05879610745294564,1.0
0,dtm_k10,0,1.8,100,7,131,10,10,10,1.0,0.07977390594953673,1.0
0,dtm_k10,0,1.8,100,8,131,10,10,10,1.0,0.03082570945749082,1.0
0,dtm_k10,1,1.8,100,0,131,10,10,10,1.0,0.13571470194044638,1.0
