step,xcoord,knn_k1,dtm_k10,random,ecc_p1,gauss_0.1,dm_eig0
13,0.423731,0.378022,0.346600,0.356690,0.500731,0.539721,0.407974
12,0.340540,0.402989,0.444790,0.374959,0.658061,0.513168,0.344167
11,0.462254,0.376681,0.356907,0.367737,0.428122,0.443812,0.408942
10,0.477386,0.389512,0.343375,0.385076,0.414919,0.572002,0.396452
9,0.334921,0.373224,0.364307,0.393464,0.502651,0.534814,0.371282
8,0.332930,0.391109,0.315840,0.380406,0.552441,0.516652,0.379232
7,0.389039,0.430341,0.372829,0.374539,0.451486,0.420001,0.321444
6,0.413713,0.378217,0.367188,0.407472,0.463800,0.615324,0.315158
5,0.332989,0.357141,0.389819,0.377389,0.481922,0.443231,0.329207
4,0.457555,0.341029,0.249289,0.266054,0.619088,0.381249,0.343915
3,0.585325,0.165079,0.183145,0.128642,0.524814,0.410498,0.525057
2,0.663798,0.117653,0.101033,0.060493,0.492535,0.379853,0.610789
1,0.480194,0.109150,0.135561,0.074364,0.515703,0.621155,0.600839
0,0.624428,0.111469,0.089309,0.076211,0.587542,1.208196,0.719446
